Pop_ID,Region,Lobes,Length,BLBW,MLBW,ALBW,LVL,UVL,UMLS,LMLS,LLA,ULA,MLA,LWR_1,LWR_2,LWR_3,LODR_1,LODR_2
QH-E1,East,8.05263157894737,53.4473684210526,19.7631578947368,24,14.1842105263158,13.1052631578947,15.8947368421053,17.0789473684211,17.2368421052632,121.921052631579,129.868421052632,141.236842105263,37.4605232802832,45.8080351065801,27.2023157197247,29.107621508668,43.327513637368
QH-E10,East,8.71428571428571,55.2142857142857,19.7142857142857,23.1428571428571,12.5,14.1428571428571,18.0714285714286,12.3571428571429,14.0714285714286,123.785714285714,140,147.928571428571,35.2306478499677,42.4467275277927,23.6443338422415,44.9970618309207,73.6961440814824
QH-E2,East,8.05,55.275,19.725,22.525,13.05,13.45,16.9,15,15.5,120.75,139.675,142.85,36.07125635798,41.73774744074,23.9387898864825,32.8366951608227,50.6755658519776
QH-E3,East,7.75675675675676,58.4594594594595,21.5675675675676,24,15.3513513513514,13.4054054054054,16.1621621621622,16.7567567567568,17.6486486486486,118.675675675676,133.702702702703,141.864864864865,37.2518117987702,41.523169385238,26.4690052643498,30.0171131320769,37.3213959122224
QH-E4,East,8.58333333333333,62.9166666666667,23.6666666666667,24.5833333333333,13.8333333333333,13.8333333333333,18.4583333333333,15.8333333333333,18.2083333333333,116.125,131.5,138.5,37.2845867783045,39.128441803273,21.9231050604101,35.6385807726966,41.1059553633924
QH-E5,East,8.61904761904762,52.9285714285714,18.047619047619,20.952380952381,10.952380952381,12.8095238095238,16.7857142857143,15.0952380952381,15.7380952380952,118.595238095238,134.714285714286,144.619047619048,34.4561523376353,39.6263301687414,20.8328986695571,28.0431225104468,34.4089824884274
QH-E6,East,8.64285714285714,55.5,18.5714285714286,22.2857142857143,12.7142857142857,14.3571428571429,17.1428571428571,14.2857142857143,15.4285714285714,115.607142857143,135,139.464285714286,33.5476442321036,40.2708775836296,22.965130607271,35.0498549144018,45.7326409431396
QH-E7,East,8.42307692307692,56.474358974359,18.0512820512821,22.2307692307692,13.025641025641,14.2948717948718,16.6794871794872,14.4871794871795,14.1282051282051,117.076923076923,135.141025641026,140,32.2391976535555,39.4526846299543,22.9339577605346,33.9309924762718,62.4133854922694
QH-W1,West,9,35.859649122807,17.140350877193,20.0877192982456,11.0701754385965,8.28070175438597,12,13.6140350877193,14.8771929824561,131.684210526316,130.947368421053,142.210526315789,48.7251772803944,56.7890289429704,31.627362464908,32.2265530593595,38.409024039829
QH-W10,West,10.8965517241379,42.8620689655172,16.6724137931034,23.551724137931,10.0689655172414,10.1206896551724,17.2758620689655,13.1379310344828,13.2586206896552,137.224137931034,126.913793103448,142.189655172414,40.6289562844354,56.3581574559308,24.2909522715777,43.1964476476918,82.8462813668189
QH-W11,West,9.08333333333333,37.3055555555556,14.8888888888889,18.4444444444444,11.6111111111111,8.30555555555556,11.1666666666667,12.4444444444444,12.9444444444444,134.333333333333,136.25,147.694444444444,40.2891488050552,50.0292851047205,31.5531040253179,32.9916987404349,46.5585478643399
QH-W12,West,9.26666666666667,42.8333333333333,14.7333333333333,22.5,14.4666666666667,10.8333333333333,13.4666666666667,15.9333333333333,13.7666666666667,142.166666666667,130.9,150.466666666667,35.4646220417974,53.4811671599333,34.1695519150545,28.5436222306416,70.2638073284358
QH-W2,West,10.3636363636364,47.0454545454546,19.7727272727273,27.5,11.8636363636364,11.6818181818182,19.8636363636364,16.2727272727273,16.2727272727273,148.318181818182,131,148.136363636364,42.4549593762053,58.2878964835102,25.2204645040229,40.2937185897094,71.4376722544116
QH-W3,West,9.5,45.5161290322581,19.0161290322581,26.8709677419355,12.1451612903226,10.7096774193548,17.6290322580645,16.8870967741935,16.0322580645161,134.951612903226,129.645161290323,148.677419354839,42.1837623088363,58.9119128959042,26.8968514844623,36.640751966116,71.6512133631503
QH-W4,West,10.2,47,14.4,23.85,12.65,11.6,20.6,12,11,137.95,136.05,151.2,31.7195372678088,51.2557741050321,26.7253912214733,48.2919375285496,122.014790764791
QH-W5,West,9.93220338983051,41.9830508474576,19.1186440677966,25.7966101694915,12.2372881355932,8.8135593220339,17.6779661016949,16.5593220338983,15.8813559322034,141.64406779661,129.305084745763,147.305084745763,45.901164846417,61.8726947806948,29.4145492670538,34.5537898727296,68.5363611198418
QH-W6,West,10,44.3428571428571,19.1285714285714,26.9714285714286,12.8428571428571,10.6428571428571,16.9714285714286,16.8857142857143,16.7857142857143,140.757142857143,127.342857142857,148.628571428571,43.291860832228,60.9611976799162,29.3594890136322,37.0900889849642,64.3702633582064
QH-W7,West,10.390625,41.78125,16.015625,23.71875,11.1875,10.828125,15.328125,14.921875,13.640625,136.21875,128.0625,144.375,39.0235551749128,57.3546105651769,27.1865357810442,36.6251413319096,76.7138342401932
QH-W8,West,10.3728813559322,43.6949152542373,16.728813559322,24.5254237288136,11.5762711864407,10.7457627118644,18.0677966101695,15.2033898305085,14.5932203389831,134.118644067797,132.186440677966,147.372881355932,38.6470074896629,56.4674081694852,26.7921469335825,37.4263643256473,71.2197009071517
QH-W9,West,10.8548387096774,44.241935483871,17.3064516129032,25.0483870967742,11.6774193548387,11.758064516129,16.741935483871,15.241935483871,14.5806451612903,136.548387096774,128.483870967742,145.209677419355,39.7310447409055,57.308458647897,26.9739436062427,38.6787180842663,75.4745573968356
QH-W-AUX3,West,10.9285714285714,42.2142857142857,15.9285714285714,24.5357142857143,9.14285714285714,12.0714285714286,16.6785714285714,13.9285714285714,15.3928571428571,137.357142857143,131.142857142857,147.892857142857,38.465660000328,58.4777646480328,22.1237024564352,42.912121777158,70.1320015768545
