Leaf_ID,Pop_ID,Region,Lobes,Length,BLBW,MLBW,ALBW,LVL,UVL,UMLS,LMLS,LLA,ULA,MLA,LWR_1,LWR_2,LWR_3,LODR_1,LODR_2
QH-E-2-13a,E2,East,9,60,7,14,17,12,18,11,6,105,130,142,11.66666667,23.33333333,28.33333333,21.42857143,133.3333333
QH-E-2-13b,E2,East,9,59,12,19,14,13,20,16,12,109,132,136,20.33898305,32.20338983,23.72881356,15.78947368,58.33333333
QH-E-2-14b,E2,East,6,72,38,24,12,25,18,18,23,114,148,143,52.77777778,33.33333333,16.66666667,25,4.347826087
QH-E-2-15a,E2,East,7,77,17,20,16,12,14,13,10,108,131,126,22.07792208,25.97402597,20.77922078,35,100
QH-E-2-16a,E2,East,8,53,21,24,14,18,13,15,16,114,133,139,39.62264151,45.28301887,26.41509434,37.5,50
QH-E-2-17a,E2,East,10,63,21,24,10,18,28,18,18,119,152,139,33.33333333,38.0952381,15.87301587,25,33.33333333
QH-E-2-18b,E2,East,8,64,19,24,18,13,13,17,16,118,140,149,29.6875,37.5,28.125,29.16666667,50
QH-E-2-19a,E2,East,9,60,19,27,19,10,21,17,19,141,157,159,31.66666667,45,31.66666667,37.03703704,42.10526316
QH-E-2-20b,E2,East,4,114,43,36,20,19,16,27,27,88,130,132,37.71929825,31.57894737,17.54385965,25,33.33333333
QH-E-2-21a,E2,East,7,50,19,22,10,13,11,14,15,109,135,144,38,44,20,36.36363636,46.66666667
QH-E-2-21b,E2,East,8,58,18,27,20,19,11,21,18,164,139,143,31.03448276,46.55172414,34.48275862,22.22222222,50
QH-E-2-22b,E2,East,7,50,20,18,9,6,13,12,17,109,120,135,40,36,18,33.33333333,5.882352941
QH-E-2-23b,E2,East,7,47,26,21,9,13,11,12,18,130,144,142,55.31914894,44.68085106,19.14893617,42.85714286,16.66666667
QH-E-2-24a,E2,East,9,41,15,21,10,10,18,15,11,136,137,152,36.58536585,51.2195122,24.3902439,28.57142857,90.90909091
QH-E-2-24b,E2,East,10,53,21,22,8,24,17,16,15,115,143,142,39.62264151,41.50943396,15.09433962,27.27272727,46.66666667
QH-E-2-25a,E2,East,7,51,24,18,23,11,8,16,16,124,130,146,47.05882353,35.29411765,45.09803922,11.11111111,12.5
QH-E-2-25b,E2,East,10,43,12,16,8,10,21,11,10,126,139,150,27.90697674,37.20930233,18.60465116,31.25,60
QH-E-3-1b,E3,East,6,54,24,24,18,14,16,20,21,127,140,158,44.44444444,44.44444444,33.33333333,16.66666667,14.28571429
QH-E-3-2a,E3,East,11,55,20,22,11,10,27,18,17,131,135,148,36.36363636,40,20,18.18181818,29.41176471
QH-E-3-2b,E3,East,9,47,15,19,11,12,16,15,13,103,134,143,31.91489362,40.42553191,23.40425532,21.05263158,46.15384615
QH-E-3-3a,E3,East,8,60,22,24,13,13,23,17,20,128,130,154,36.66666667,40,21.66666667,29.16666667,20
QH-E-3-3b,E3,East,11,62,19,22,10,17,24,18,18,123,144,159,30.64516129,35.48387097,16.12903226,18.18181818,22.22222222
QH-E-3-4a,E3,East,9,52,15,21,12,12,20,18,15,123,139,145,28.84615385,40.38461538,23.07692308,14.28571429,40
QH-E-3-4b,E3,East,7,56,22,24,19,14,13,17,18,121,137,135,39.28571429,42.85714286,33.92857143,29.16666667,33.33333333
QH-E-3-5a,E3,East,7,47,23,21,14,8,13,15,18,118,116,128,48.93617021,44.68085106,29.78723404,28.57142857,16.66666667
QH-E-3-5b,E3,East,7,46,19,19,12,11,13,13,17,113,123,121,41.30434783,41.30434783,26.08695652,31.57894737,11.76470588
QH-E-3-6a,E3,East,8,55,21,23,17,16,16,18,18,132,127,159,38.18181818,41.81818182,30.90909091,21.73913043,27.77777778
QH-E-3-6b,E3,East,7,48,17,21,14,11,16,14,15,126,131,148,35.41666667,43.75,29.16666667,33.33333333,40
QH-E-3-7a,E3,East,9,42,16,16,9,10,7,10,12,128,127,139,38.0952381,38.0952381,21.42857143,37.5,33.33333333
QH-E-3-7b,E3,East,7,65,27,26,17,15,16,17,23,117,149,126,41.53846154,40,26.15384615,34.61538462,13.04347826
QH-E-3-9a,E3,East,8,56,21,26,18,10,12,18,17,113,130,137,37.5,46.42857143,32.14285714,30.76923077,52.94117647
QH-E-3-9b,E3,East,8,54,22,23,14,17,12,16,18,114,147,154,40.74074074,42.59259259,25.92592593,30.43478261,27.77777778
QH-E-3-10a,E3,East,8,53,23,24,18,11,11,20,19,115,132,135,43.39622642,45.28301887,33.96226415,16.66666667,26.31578947
QH-E-3-10b,E3,East,8,49,21,22,9,11,20,16,17,113,118,137,42.85714286,44.89795918,18.36734694,27.27272727,29.41176471
QH-E-3-11b,E3,East,5,55,22,28,19,12,14,18,18,123,138,139,40,50.90909091,34.54545455,35.71428571,55.55555556
QH-E-3-12a,E3,East,9,77,31,28,22,19,20,17,21,123,145,147,40.25974026,36.36363636,28.57142857,39.28571429,33.33333333
QH-E-3-12b,E3,East,8,59,22,27,19,13,17,18,16,117,136,146,37.28813559,45.76271186,32.20338983,33.33333333,68.75
QH-E-3-13a,E3,East,7,53,19,22,16,13,20,17,16,125,114,132,35.8490566,41.50943396,30.18867925,22.72727273,37.5
QH-E-3-13b,E3,East,10,51,15,20,12,15,16,16,15,125,136,137,29.41176471,39.21568627,23.52941176,20,33.33333333
QH-E-3-16b,E3,East,5,69,22,25,19,11,16,18,18,108,122,134,31.88405797,36.23188406,27.53623188,28,38.88888889
QH-E-3-18a,E3,East,7,74,27,34,24,18,16,26,24,120,140,149,36.48648649,45.94594595,32.43243243,23.52941176,41.66666667
QH-E-3-18b,E3,East,7,67,29,24,19,12,12,18,22,117,137,143,43.28358209,35.82089552,28.35820896,25,9.090909091
QH-E-3-20b,E3,East,7,68,21,20,12,13,14,14,13,108,128,127,30.88235294,29.41176471,17.64705882,30,53.84615385
QH-E-3-21a,E3,East,7,55,22,32,20,13,17,21,21,133,129,137,40,58.18181818,36.36363636,34.375,52.38095238
QH-E-3-21b,E3,East,7,47,24,26,16,12,11,15,18,110,107,114,51.06382979,55.31914894,34.04255319,42.30769231,44.44444444
QH-E-3-23b,E3,East,7,54,20,22,11,14,15,13,15,123,139,142,37.03703704,40.74074074,20.37037037,40.90909091,46.66666667
QH-E-3-24a,E3,East,9,58,28,29,13,15,16,20,21,127,135,156,48.27586207,50,22.4137931,31.03448276,38.0952381
QH-E-3-25a,E3,East,9,68,16,20,11,16,15,10,13,100,134,124,23.52941176,29.41176471,16.17647059,50,53.84615385
QH-E-3-25b,E3,East,7,60,18,18,13,10,12,12,11,106,151,144,30,30,21.66666667,33.33333333,63.63636364
QH-E-3-26a,E3,East,8,73,23,24,12,7,30,17,18,117,144,156,31.50684932,32.87671233,16.43835616,29.16666667,33.33333333
QH-E-3-26b,E3,East,8,79,21,22,10,26,17,12,13,104,112,129,26.58227848,27.84810127,12.65822785,45.45454545,69.23076923
QH-E-3-27b,E3,East,7,57,19,26,20,8,11,16,18,112,143,155,33.33333333,45.61403509,35.0877193,38.46153846,44.44444444
QH-E-3-28a,E3,East,7,67,27,31,20,16,16,20,22,129,142,155,40.29850746,46.26865672,29.85074627,35.48387097,40.90909091
QH-E-3-28b,E3,East,8,71,25,33,24,21,18,22,24,119,156,157,35.21126761,46.47887324,33.8028169,33.33333333,37.5
QH-E-4-1a,E4,East,7,80,41,40,20,15,11,30,38,114,109,125,51.25,50,25,25,5.263157895
QH-E-4-1b,E4,East,7,88,45,33,20,17,16,21,35,114,135,119,51.13636364,37.5,22.72727273,36.36363636,-5.714285714
QH-E-4-2b,E4,East,12,68,21,28,27,14,16,16,23,112,130,138,30.88235294,41.17647059,39.70588235,42.85714286,21.73913043
QH-E-4-3a,E4,East,9,73,29,29,16,18,21,15,17,113,123,132,39.7260274,39.7260274,21.91780822,48.27586207,70.58823529
