"","pop_names[pop_keep]","N","MLG","num_clones","Qha_Hexp","Qha_alleles","Qha_all_rich","Qha_pwfst","wang.means"
"1","E-1-",20,18,2,0.554328422473584,58,44.3830839773686,0.0888156929166998,0.210872614286625
"3","E-15-",12,12,0,0.688702239789196,64,56.173196495851,0.0684250997109851,0.0387517980488478
"4","E-2-",25,22,3,0.561502979050548,56,41.3945015130514,0.0914090638132238,0.246805683992806
"5","E-3-",27,20,7,0.52027972027972,57,42.1758860288008,0.0947190453328043,0.234753104908019
"6","E-4-",19,13,6,0.542039725755141,49,43.4158755678745,0.081887572008701,0.144792525617802
"7","E-5-",32,17,15,0.543469127186998,60,44.0466901316569,0.0952700825591795,0.26128662066063
"8","E-6-",14,11,3,0.653679653679654,60,52.8017503652179,0.0786193975613951,0.109520785994141
"9","E-7-",27,17,10,0.62795641672647,64,50.2623626894986,0.0865989588975734,0.153776183111929
"10","E-8-",29,23,6,0.591823929152728,72,49.7868290408737,0.083526333808204,0.181738027259322
"13","W-1-",39,25,14,0.55316937482351,58,40.6156438802946,0.13418200111844,0.271373266731088
"14","W-10-",29,22,7,0.696162963181991,90,64.5917204589698,0.0684653534013374,0.0161719215403582
"15","W-11-",20,19,1,0.646579593948015,84,60.519984440108,0.0891595100799383,0.0858319545074137
"16","W-12-",18,15,3,0.600562272976066,69,54.6557664269208,0.0949422643961996,0.0777626331485417
"18","W-3-",33,32,1,0.586373324835305,88,57.0850651819745,0.0863956487941944,0.0927317021231202
"19","W-4-",33,26,7,0.646179211076567,79,54.7801993845546,0.0794487685381676,0.139091033481936
"20","W-5-",30,27,3,0.668129400093884,103,63.9939331805027,0.0642201280308496,0.0485353258494755
"21","W-6-",33,31,2,0.663381568193837,106,62.2141693128813,0.0646081428100739,0.0460938315839986
"22","W-7-",32,30,2,0.659681561376477,93,59.9266828417829,0.0672594648719504,0.0737423789196233
"23","W-8-",39,35,4,0.716321416974402,98,61.4331181641854,0.0628836767832975,0.0303365585393063
"24","W-9-",30,28,2,0.701055932188008,106,66.3184262138902,0.0612269901782389,-0.00510461677697687
"25","W-AUX3-",16,14,2,0.693592518592519,73,60.393725184195,0.0720924613561402,0.0464087210242187
