"","pop_names[pop_keep]","N","MLG","num_clones","Qha_Hexp","Qha_alleles","Qha_all_rich","Qha_pwfst","wang.means"
"1","E-1-",20,18,2,0.554328422473584,58,39.7315288851915,0.0783355801768291,0.213858853192266
"2","E-10",9,9,0,0.648942634905202,55,48.183430295195,0.0618875131902796,0.0521778550542677
"3","E-13",8,8,0,0.634090909090909,53,47.1697802197802,0.0702703445156899,0.156638153681707
"4","E-14-",12,9,3,0.703609625668449,67,55.6181641887524,0.0582789667613806,0.00936818021540301
"5","E-15-",12,12,0,0.688702239789196,64,50.13385189316,0.0628697546530179,0.0387252453074052
"6","E-2-",25,22,3,0.561502979050548,56,37.6729474360992,0.0814299836313513,0.248058013369551
"7","E-3-",27,20,7,0.52027972027972,57,37.8123271672054,0.083300766780297,0.236596367066167
"8","E-4-",19,13,6,0.542039725755141,49,39.3875117559786,0.0747152085555308,0.147199296398021
"9","E-5-",32,17,15,0.543469127186998,60,39.1013190779342,0.0864860956812675,0.263624811297577
"10","E-6-",14,11,3,0.653679653679654,60,46.8545463824102,0.07323184831996,0.111768344581709
"11","E-7-",27,17,10,0.62795641672647,64,45.0290329681549,0.0767055660072995,0.155359148438508
"12","E-8-",18,15,3,0.607155296810469,68,47.7083115854835,0.0707932674388112,0.183997419776708
"13","E-8b-",11,8,3,0.534848484848485,38,35.010989010989,0.0805502214732052,0.284140442637784
"15","E-AUX8-",11,8,3,0.571686646686647,46,41.4692307692308,0.070353131405153,0.186526912171352
"16","W-1-",39,25,14,0.55316937482351,58,37.0200802737719,0.134470557596979,0.273505068066573
"17","W-10-",29,22,7,0.696162963181991,90,56.5816512928054,0.0704608403190957,0.0197113736203212
"18","W-11-",20,19,1,0.646579593948015,84,52.7981065257778,0.0931590864464064,0.0870686804984112
"19","W-12-",18,15,3,0.600562272976066,69,48.1774586892018,0.10143546354778,0.0796787581674763
"20","W-2-",11,7,4,0.681318681318681,53,50.2857142857143,0.088333897567438,-0.0455669874942368
"21","W-3-",33,32,1,0.586373324835305,88,49.8812200249684,0.0875233205895924,0.0971033941856717
"22","W-4-",33,26,7,0.646179211076567,79,48.6212027648913,0.0823512766066093,0.141817876233191
"23","W-5-",30,27,3,0.668129400093884,103,55.5121553265896,0.0650391375099678,0.0502555869339896
"24","W-6-",33,31,2,0.663381568193837,106,53.9142068422615,0.0661188431373013,0.0500396247107052
"25","W-7-",32,30,2,0.659681561376477,93,52.489636592622,0.0681608982826177,0.0770345511913812
"26","W-8-AUX3-",55,49,6,0.715529697527585,116,55.8577216301281,0.0521387422897839,0.0231842795554865
"27","W-9-",30,28,2,0.701055932188008,106,57.5550991639708,0.0618824940851638,-0.00193808475359253
