Population,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
E1,15.03,17.08,43.98,801.70,34.09,-4.76,38.85,23.82,4.98,24.72,4.98,463,69,12,61.55713023,201,42,198,42
E2,15.05,17.16,43.81,801.86,34.31,-4.86,39.18,24.06,5.09,24.80,5.09,385,70,8,68.78826095,190,31,179,31
E3,14.18,17.67,44.80,797.19,33.53,-5.92,39.44,23.81,5.94,23.81,4.26,412,74,10,69.87271882,199,32,199,32
E4,14.26,17.88,45.05,798.22,33.75,-5.94,39.69,23.88,4.28,23.88,4.28,421,74,9,69.01100927,200,32,200,32
E5,14.48,14.96,36.79,929.39,34.74,-5.92,40.66,23.47,2.92,25.87,2.92,528,89,9,58.08774662,219,42,195,42
E6,14.62,14.77,36.98,905.98,34.55,-5.40,39.95,23.36,3.34,25.70,3.34,568,93,13,55.95139729,228,49,198,49
E7,14.48,14.53,35.92,927.18,34.58,-5.87,40.45,18.94,2.91,25.80,2.91,570,96,12,54.83070179,229,51,193,51
E10,17.46,14.78,39.71,808.54,35.64,-1.59,37.23,26.50,7.14,26.99,7.14,492,87,16,55.59779882,184,53,157,53
E13,15.88,14.65,39.49,820.70,34.12,-2.98,37.10,24.12,5.59,25.83,5.59,541,78,14,55.11038203,208,52,203,52
E14,16.39,15.06,39.58,837.04,35.34,-2.71,38.05,24.71,5.89,26.55,5.89,543,79,17,52.97096722,201,57,196,57
Mean,15.18,15.86,40.61,842.78,34.46,-4.60,39.06,23.67,4.81,25.40,4.64,492.30,80.90,12.00,60.18,205.90,44.10,191.80,44.10
SD,1.07,1.40,3.52,55.51,0.66,1.59,1.25,1.89,1.42,1.06,1.37,68.22,9.69,3.06,6.65,15.13,9.73,13.85,9.73
,,,,,,,,,,,,,,,,,,,
W1,17.08,19.65,47.57,793.91,37.81,-3.50,41.31,26.65,20.21,27.07,7.71,377,53,7,41.33421457,137,38,103,99
W2,12.20,17.08,38.85,956.02,33.11,-10.86,43.97,19.14,16.50,24.10,0.46,214,27,6,29.41850235,72,32,51,51
W3,11.80,15.91,38.68,906.17,32.06,-9.07,41.13,22.44,15.84,23.25,0.92,233,31,7,34.28306377,82,32,65,53
W4,12.27,16.39,40.36,876.75,32.42,-8.19,40.61,22.65,16.12,23.45,1.92,262,35,8,32.39010206,84,35,68,69
W5,12.08,16.01,39.05,903.71,32.38,-8.61,40.99,22.65,16.20,23.49,1.25,229,32,7,33.05989093,79,32,64,54
W6,12.28,14.17,35.12,943.83,32.07,-8.27,40.34,19.01,16.54,24.22,0.95,208,26,7,32.50613997,73,30,55,45
W7,11.85,13.17,34.01,926.14,30.75,-7.96,38.71,18.55,15.94,23.59,0.78,233,28,8,29.79007237,79,34,60,56
W8,12.15,15.96,36.33,996.72,33.24,-10.69,43.93,19.00,-0.06,24.62,-0.06,179,22,7,31.29439539,64,33,47,33
W9,12.58,16.26,36.54,1002.60,33.69,-10.83,44.52,19.59,22.32,25.05,0.19,245,31,9,24.90382912,74,51,53,52
W10,11.96,17.02,36.31,1041.71,33.79,-13.08,46.86,19.18,-1.09,24.79,-1.09,226,29,9,25.33201986,71,47,50,47
W11,12.48,19.36,45.59,847.55,33.38,-9.08,42.46,22.28,7.67,23.10,2.24,239,48,10,62.94729023,120,32,98,35
W12,9.14,14.98,41.71,784.50,27.36,-8.55,35.91,19.26,0.04,19.26,0.04,364,65,9,58.17293082,161,33,161,33
WAUX3,12.27,16.21,36.51,1003.80,33.60,-10.79,44.39,19.10,-0.04,24.81,-0.04,177,21,7,29.91853924,62,33,46,33
Mean,12.32,16.32,38.97,921.80,32.74,-9.19,41.93,20.73,11.25,23.91,1.18,245.08,34.46,7.77,35.80,89.08,35.54,70.85,50.77
SD,1.67,1.78,4.01,80.75,2.30,2.27,2.86,2.41,8.64,1.75,2.15,60.64,12.99,1.17,11.76,30.51,6.32,32.52,18.13
,,,,,,,,,,,,,,,,,,,
P_val,0.000118,0.506000,0.317000,0.015200,0.032500,0.000022,0.007620,0.004550,0.030500,0.027500,0.000231,0.000000,0.000000,0.000154,0.000008,0.000000,0.018400,0.000000,0.306000
,***,,,*,*,***,***,**,*,*,***,***,***,***,***,***,*,***,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,df,F,P,,,,,,,,,,,,,,,,
BIO1,1,22.21,0.000118,***,Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ ,,,,,,,,,,,,,,
BIO2,1,0.124,0.506000,,,,,,,,,,,,,,,,
BIO3,1,1.049,0.317000,,,,,,,,,,,,,,,,
BIO4,1,6.994,0.015200,*,,,,,,,,,,,,,,,
BIO5,1,5.243,0.032500,*,,,,,,,,,,,,,,,
BIO6,1,29.57,0.000022,***,,,,,,,,,,,,,,,
BIO7,1,8.712,0.007620,***,,,,,,,,,,,,,,,
BIO8,1,10.09,0.004550,**,,,,,,,,,,,,,,,
BIO9,1,5.384,0.030500,*,,,,,,,,,,,,,,,
BIO10,1,5.614,0.027500,*,,,,,,,,,,,,,,,
BIO11,1,19.65,0.000231,***,,,,,,,,,,,,,,,
BIO12,1,84.34,0.000000,***,,,,,,,,,,,,,,,
BIO13,1,89.18,0.000000,***,,,,,,,,,,,,,,,
BIO14,1,21.18,0.000154,***,,,,,,,,,,,,,,,
BIO15,1,34.29,0.000008,***,,,,,,,,,,,,,,,
BIO16,1,122.4,0.000000,***,,,,,,,,,,,,,,,
BIO17,1,6.531,0.018400,*,,,,,,,,,,,,,,,
BIO18,1,120.5,0.000000,***,,,,,,,,,,,,,,,
BIO19,1,1.1,0.306000,,,,,,,,,,,,,,,,
