"","pop_names[pop_keep]","N","MLG","num_clones","Qha_Hexp","Qha_alleles","Qha_all_rich","Qha_pwfst","wang.means[pop_keep]"
"1","E-1-",20,18,2,0.554328422473584,58,39.7315288851915,0.0856151542378684,0.213858853192266
"2","E-10",9,9,0,0.648942634905202,55,48.183430295195,0.0656132879172416,0.0521778550542677
"3","E-13",8,8,0,0.634090909090909,53,47.1697802197802,0.072135988306206,0.156638153681707
"4","E-15-",24,21,3,0.703672541536113,84,53.031167965035,0.0595081663522533,0.00672595194738308
"5","E-2-",25,22,3,0.561502979050548,56,37.6729474360992,0.0878076102202932,0.248058013369551
"6","E-3-",27,20,7,0.52027972027972,57,37.8123271672054,0.0910361914101789,0.236596367066167
"7","E-4-",19,13,6,0.542039725755141,49,39.3875117559786,0.0804227365422387,0.147199296398021
"8","E-5-",32,17,15,0.543469127186998,60,39.1013190779342,0.0930176342787007,0.263624811297577
"9","E-6-",14,11,3,0.653679653679654,60,46.8545463824102,0.0774422068846917,0.111768344581709
"10","E-8-",56,40,16,0.615106080758224,91,45.770413070744,0.0691805543943203,0.153478748941785
"12","E-AUX8-",11,8,3,0.571686646686647,46,41.4692307692308,0.0751566727807295,0.186526912171352
"13","W-1-",39,25,14,0.55316937482351,58,37.0200802737719,0.129961334368534,0.273505068066573
"14","W-10-",29,22,7,0.696162963181991,90,56.5816512928054,0.0662881366518852,0.0197113736203212
"15","W-11-",20,19,1,0.646579593948015,84,52.7981065257778,0.0869511876494243,0.0870686804984112
"16","W-12-",18,15,3,0.600562272976066,69,48.1774586892018,0.0944172644380919,0.0796787581674763
"17","W-2-",11,7,4,0.681318681318681,53,50.2857142857143,0.0792706788359901,-0.0455669874942368
"18","W-3-",33,32,1,0.586373324835305,88,49.8812200249684,0.0835210116526385,0.0971033941856717
"19","W-4-",33,26,7,0.646179211076567,79,48.6212027648913,0.0774459499011842,0.141817876233191
"20","W-5-",30,27,3,0.668129400093884,103,55.5121553265896,0.0616152401101964,0.0502555869339896
"21","W-6-",33,31,2,0.663381568193837,106,53.9142068422615,0.0622800248744297,0.0500396247107052
"22","W-7-",32,30,2,0.659681561376477,93,52.489636592622,0.0646759804509194,0.0770345511913812
"23","W-8-",39,35,4,0.716321416974402,98,54.3538266773493,0.0602714367205525,0.0336193264903343
"24","W-9-",30,28,2,0.701055932188008,106,57.5550991639708,0.0584676701955338,-0.00193808475359253
"25","W-AUX3-",16,14,2,0.693592518592519,73,53.4069040379163,0.0717259169521688,0.0501676553961398
