"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"BIO1",1.99503310416532,13.1097196813337,0.171375385397205,0.0400375678606784,5.42520001151163
"BIO2",3.07708803971424,3.82814340010851,14.5799810332581,8.40382671107049,2.79562771863927
"BIO3",9.73901518134829,0.204062015427621,3.23603014936228,4.86192131308869,1.06573542315905
"BIO4",10.4733337031385,1.23175643302705,1.60522634172245,0.294944975330914,1.18978967052219e-05
"BIO5",0.243336879467042,14.7181549648305,3.66582083464521,1.256993463953,1.45518710957869
"BIO6",8.14090439874784,0.739963534013064,7.15770391098623,0.231916244751417,8.82049164508039
"BIO7",3.49031302443986,5.73572414884419,13.3861469937221,1.642193997283,1.92896541883484
"BIO8",7.27977247736677,4.02844926242256,0.00310398367303644,0.850537521581063,0.387639126304002
"BIO9",0.85496177826641,4.30079842779227,9.28836334215009,11.2329175241964,0.314644477337153
"BIO10",0.153043790658786,15.4845944300801,0.684213519720976,0.0236418063292564,5.26282974450123
"BIO11",8.08008768326306,4.6431277409462,0.403342510624493,0.154118597593668,3.63713877929009
"BIO12",9.32975426043021,0.278813151030312,0.0862443686934333,8.51765118417035,1.03723481222589
"BIO13",9.13869404611436,2.69455580300824,1.94367121276057,1.00325109671322,0.403505421590123
"BIO14",0.357913372899409,3.38134862209526,18.8794796892489,9.14070473090871,0.654211509474369
"BIO15",5.76617140209938,5.04278438174175,2.59391062218924,7.23821489410075,1.16064619953442
"BIO16",9.36327576656516,2.69316007307793,1.08616477719972,0.246176121604795,0.00319651039531252
"BIO17",0.290775668910768,1.52934837036137,14.5095995039503,36.0227700842874,1.7664123048677
"BIO18",7.48288105576344,5.6395551308854,0.538222752996374,0.217818936545934,0.0891596911867566
"BIO19",3.87128627515362,7.89102430915268,2.47934425188513,7.63273759905708,0.851533758461519
"Elev",0.872358091487515,2.82491611982136,3.70205481581422,0.987625629573008,62.9406284401309
