"","pop_names[pop_keep]","N","MLG","num_clones","Qha_Hexp","Qha_alleles","Qha_all_rich","Qha_pwfst","wang.means"
"1","E-1-",20,18,2,0.523921988150099,34,25.6486845550448,0.101538244540629,0.32360868030063
"3","E-15-",12,12,0,0.694565217391304,42,36.9075191271988,0.0769640580966522,0.0703529724730879
"4","E-2-",25,20,5,0.502197802197802,32,24.0416743633902,0.108802128316844,0.373887314019687
"5","E-3-",27,20,7,0.468315018315018,32,23.873699934917,0.116541825264983,0.363342696397475
"6","E-4-",19,13,6,0.505621914317566,32,27.600745770136,0.0995415478998463,0.257914409675527
"7","E-5-",32,17,15,0.566271449928945,36,26.925447493123,0.0976290857829155,0.332337974062974
"8","E-6-",14,11,3,0.604205318491033,37,31.9585326953748,0.085790944753804,0.184782831884142
"9","E-7-",27,17,10,0.580371542556416,37,28.7880820447597,0.104213122106914,0.249603251064801
"10","E-8-",29,21,8,0.54679008564026,42,29.0429947936024,0.101830733017239,0.32794439755937
"13","W-1-",39,25,14,0.505539358600583,36,23.9096209003965,0.158264406467176,0.391758130557501
"14","W-10-",29,21,8,0.659738620494168,56,39.4344309845037,0.0867621029811514,0.0870858250486021
"15","W-11-",20,19,1,0.629343629343629,48,35.5007282397312,0.103946867306319,0.146335483684716
"16","W-12-",18,15,3,0.629556650246305,44,35.7253562692338,0.103704997783813,0.0631351777370829
"18","W-3-",33,31,2,0.581650134083158,54,34.8314604967779,0.0968321543820512,0.193235141111043
"19","W-4-",33,25,8,0.634691809854641,52,34.1899239036356,0.0861270759272844,0.149352049444008
"20","W-5-",30,26,4,0.656216332686921,65,39.8008514560807,0.0768769577828621,0.107852379580904
"21","W-6-",33,31,2,0.623706277857521,66,37.4976379397038,0.0793672491866482,0.134437596429297
"22","W-7-",32,30,2,0.652138821630347,63,39.4498428530424,0.0759334142496469,0.0928356384717711
"23","W-8-",39,34,5,0.682959996352853,57,36.5362362468475,0.0773221895299836,0.106115732455758
"24","W-9-",30,27,3,0.669062593590895,70,42.93250033991,0.0744605781722266,0.0311304007617438
"25","W-AUX3-",16,14,2,0.65191144834002,46,37.8549032457499,0.0834974176668433,0.0864376814469809
