Longitude,Latitude,Pop
-102.927,36.903,E92_EB
-101.412,30.723,E93_EB
-103.58,31.849,E94_EB
-101.521,31.869,E95_EB
-100.53,31.889,E96_EB
-100.921,32.306,E97_EB
-100.916,32.746,E98_EB
-100.256,33.617,E99_EB
-103.331,35.085,E224_EB
-102.6168515,33.372725,SH_E1
-103.8673878,33.40777,SH_E2
-103.344343,33.711941,SH_E3
-103.18341,33.608706,SH_E4
-100.2758676,35.903003,SH_E5
-100.19934,35.44526,SH_E6
-99.92558333,35.767091,SH_E7
-99.81720607,35.79435,SH_E8
-102.254821,33.238956,SH_E9
-101.3319871,32.286168,SH_E10
-102.8129993,31.626835,SH_E11
-102.6063832,31.382295,SH_E12
-101.3906,33.45861,SH_E13
-101.0739,33.43528,SH_E14
-101.054931,33.443032,SH_E15
-103.232379,33.372902,SH_EAUX2
-103.26221,33.64291,SH_EAUX3
-103.05192,33.62676,SH_EAUX4
-102.939819,33.149723,SH_EAUX5
-103.11081,33.20302,SH_EAUX6
-103.05292,33.570451,SH_EAUX7
-100.112279,35.448712,SH_EAUX8
-111.98501,34.72734,SH_W1
-109.617944,36.927164,SH_W2
-110.1328778,36.616231,SH_W3
-111.9837,37.09571,SH_W4
-111.5398813,36.786009,SH_W5
-110.068672,37.064371,SH_W6
-109.9730905,37.233943,SH_W7
-110.6018908,38.065245,SH_W8
-109.5268944,38.573059,SH_W9
-109.7249519,38.761722,SH_W10
-107.1716702,34.998287,SH_W11
-105.1060839,38.502309,SH_W12
-109.9122742,37.241648,SH_WAUX1
-109.633931,37.522536,SH_WAUX2
-110.56879,38.00006,SH_WAUX3
-109.694604,38.697193,SH_WAUX4
-109.657265,38.699871,SH_WAUX10
-108.6,37.34,W1_EB
-107.172,34.998,W44_EB
-109.966,37.231,W10_EB
-109.973,37.234,W11_EB
-109.976,37.237,W12_EB
-109.912,37.242,W13_EB
-109.65,37.267,W14_EB
-109.953,37.321,W15_EB
-110.519,37.382,W16_EB
-110.508,37.387,W17_EB
-110.459,37.404,W18_EB
-110.505,37.421,W19_EB
-108.631,39.03,W2_EB
-110.506,37.421,W20_EB
-110.162,37.423,W21_EB
-110.575,37.961,W22_EB
-110.602,38.065,W23_EB
-109.527,38.573,W24_EB
-109.725,38.762,W25_EB
-110.569,38,W26_EB
-109.65,37.26,W27_EB
-109.62,37.32,W28_EB
-109.533,38.574,W29_EB
-108.634,39.031,W3_EB
-109.66,38.71,W30_EB
-109.563,38.744,W31_EB
-111.113,37.379,W32_EB
