Pop,Longitude,Latitude,Dep2ResLyr,omr,Sand
E5_EB,-103.671,32.141,201,0.3,93.2
E50_EB,-103.851,32.349,201,0.55,68.1
E51_EB,-103.628,32.363,201,0.3,93.2
E52_EB,-103.714,32.377,201,0.45,67.4
E53_EB,-104.306,32.458,31,2,37.2
E54_EB,-103.98,32.48,201,0.15,94.4
E55_EB,-103.937,32.511,201,0.15,94.4
E56_EB,-103.651,32.617,201,0.3,93.2
E57_EB,-104.47,33.362,201,0.75,29.4
E58_EB,-104.088,33.393,201,0.45,52.4
E59_EB,-103.339,33.701,201,2,81.6
E60_EB,-104.369,34.359,201,1.5,68.8
E62_EB,-98.472,34.662,201,2,38.9
E63_EB,-98.981,34.916,201,2,22.9
E64_EB,-99.561,34.936,201,0.75,71
E65_EB,-98.992,35.29,201,2,14
E66_EB,-99.001,35.639,201,2,14
E67_EB,-98.433,35.875,201,1.5,65.9
E68_EB,-99.771,34.802,201,0.75,71
E7_EB,-103.8,32.32,201,0.45,67.4
E70_EB,-99.741,35.309,201,0.75,71
E72_EB,-99.639,35.849,201,0.75,70.5
E73_EB,-99.297,36.454,201,0.25,80.8
E74_EB,-102.963,36.976,201,2.5,82.7
E77_EB,-99.746,35.547,201,0.75,65.5
E78_EB,-99.671,35.556,201,0.75,41.8
E8_EB,-103.783,32.348,201,0.45,67.4
E80_EB,-99.827,35.794,201,0.75,91.4
E81_EB,-99.868,35.892,201,0.75,70.5
E82_EB,-99.742,35.709,201,0.75,41.8
E83_EB,-99.404,35.986,201,0.75,69.4
E84_EB,-99.428,36.41,201,0.75,65.5
E85_EB,-99.192,36.486,201,0.75,80.9
E86_EB,-98.53,36.31,201,2,17.6
E88_EB,-98.381,35.168,201,2,37.8
E89_EB,-99.718,35.538,201,0.75,65.5
E90_EB,-99.137,35.928,201,0.75,94.4
E91_EB,-99.493,36.022,201,0.75,41.8
E92_EB,-102.927,36.903,201,2.5,82.7
E93_EB,-101.412,30.723,201,1.25,21.4
E94_EB,-103.58,31.849,201,0.55,68.1
E95_EB,-101.521,31.869,31,2,37.2
E96_EB,-100.53,31.889,201,1.5,37.2
E97_EB,-100.921,32.306,201,0.75,69.6
E98_EB,-100.916,32.746,201,3,29.4
E99_EB,-100.256,33.617,201,0.75,22.1
SH_E1,-102.6168515,33.372725,201,2,81.6
SH_E10,-101.3319871,32.286168,201,0.75,94.9
SH_E11,-102.8129993,31.626835,201,0.15,94.4
SH_E12,-102.6063832,31.382295,201,1.25,92.2
SH_E13,-101.3906,33.45861,201,0.55,38.1
SH_E14,-101.0739,33.43528,201,0.75,61.6
SH_E15,-101.054931,33.443032,201,0.75,92.2
SH_E2,-103.8673878,33.40777,201,0.75,64.3
SH_E3,-103.344343,33.711941,201,2,81.6
SH_E4,-103.18341,33.608706,201,0.75,66.9
SH_E5,-100.2758676,35.903003,201,0.25,80.8
SH_E6,-100.19934,35.44526,201,0.75,91.4
SH_E7,-99.92558333,35.767091,201,0.75,91.4
SH_E8,-99.81720607,35.79435,201,0.75,91.4
SH_E9,-102.254821,33.238956,201,0.55,74.8
SH_EAUX2,-103.232379,33.372902,201,1.5,43
SH_EAUX3,-103.26221,33.64291,201,0.75,64.3
SH_EAUX4,-103.05192,33.62676,201,2,81.6
SH_EAUX5,-102.939819,33.149723,201,0.55,74.8
SH_EAUX6,-103.11081,33.20302,201,0.55,74.8
SH_EAUX7,-103.05292,33.570451,201,2,81.6
SH_EAUX8,-100.112279,35.448712,201,0.75,71
SH_W1,-111.98501,34.72734,201,0.65,53.5
SH_W10,-109.7249519,38.761722,32,0.75,67.5
SH_W11,-107.1716702,34.998287,201,0.7,7
SH_W12,-105.1060839,38.502309,33,1.5,45.1
SH_W2,-109.617944,36.927164,201,0.35,85.3
SH_W3,-110.1328778,36.616231,31,0.25,78.6
SH_W4,-111.9837,37.09571,31,1.5,52.4
SH_W5,-111.5398813,36.786009,201,999,999
SH_W6,-110.068672,37.064371,201,0.75,74.1
SH_W7,-109.9730905,37.233943,201,2,59.7
SH_W8,-110.6018908,38.065245,201,0.75,73
SH_W9,-109.5268944,38.573059,201,0.75,71.3
SH_WAUX1,-109.9122742,37.241648,201,0.75,69.5
SH_WAUX10,-109.657265,38.699871,32,0.75,67.5
SH_WAUX2,-109.633931,37.522536,31,0.75,73.6
SH_WAUX3,-110.56879,38.00006,201,0.75,73
SH_WAUX4,-109.694604,38.697193,32,0.75,67.5
W1_EB,-108.6,37.34,201,0.75,34.9
W15_EB,-109.953,37.321,31,1.5,60.2
W17_EB,-110.508,37.387,999,999,999
W18_EB,-110.459,37.404,999,999,999
W20_EB,-110.506,37.421,999,999,999
W21_EB,-110.162,37.423,31,1.5,60.2
W22_EB,-110.575,37.961,33,0.75,70
W27_EB,-109.65,37.26,999,999,999
W30_EB,-109.66,38.71,32,0.75,67.5
W31_EB,-109.563,38.744,38,0.75,67.6
W32_EB,-111.113,37.379,77,0.75,72
W33_EB,-111.189,37.518,201,999,999
W34_EB,-109.789,37.623,999,999,999
W35_EB,-109.4,38.5,31,0.75,73.6
W36_EB,-109.573,38.974,201,0.75,6.8
W37_EB,-110.721,39.009,38,1.5,73.9
W38_EB,-112.006,37.087,31,1.5,52.4
W39_EB,-109.623,37.323,201,0.75,69.5
W4_EB,-108.631,39.032,31,0.75,73.6
W40_EB,-109.808,37.591,31,0.75,73.6
W41_EB,-110.028,37.83,201,2,55.2
W42_EB,-109.679,38.206,999,999,999
W43_EB,-110.904,38.324,201,999,999
W5_EB,-108.986,39.195,201,0.75,29
W7_EB,-108.321,36.509,201,999,999
