"","x"
"E-1-",0.523989898989899
"E-10",0.580808080808081
"E-13",0.647727272727273
"E-15-",0.590794499618029
"E-2-",0.495867768595041
"E-3-",0.418181818181818
"E-4-",0.433036660309388
"E-5-",0.516042780748663
"E-6-",0.570247933884298
"E-8-",0.554279279279279
"E-AUX5-",0.363636363636364
"W-1-",0.477511961722488
"W-10-",0.602892561983471
"W-11-",0.583732057416268
"W-12-",0.452813852813853
"W-2-",0.493506493506494
"W-3-",0.4908527479092
"W-4-",0.613713149595503
"W-5-",0.615773115773116
"W-6-",0.560117302052786
"W-7-",0.566666666666667
"W-8-",0.615079606222654
"W-9-",0.552188552188552
"W-AUX3-",0.641483516483517
