"","E-1-","E-10","E-13","E-15-","E-2-","E-3-","E-4-","E-5-","E-6-","E-8-","E-AUX8-","W-1-","W-10-","W-11-","W-12-","W-2-","W-3-","W-4-","W-5-","W-6-","W-7-","W-8-","W-9-","W-AUX3-"
"E-AUX8-",0.0363410612562051,0.0474543936792645,0.0475563909774435,0.0241540064344297,0.0426526383768803,0.0336318450595595,0.0605578155738303,0.0489764321230583,0.0442721163510239,0.0106412466970656,NA,0.171524106010443,0.10548526783889,0.130588025341304,0.143814080656186,0.159214830970556,0.113117277311414,0.106150020056554,0.0931447235606681,0.0958112250078923,0.0849190424742208,0.0873305067829909,0.0859081546104446,0.13309876972843
"W-1-",0.243859288206919,0.17895330815167,0.1355871886121,0.164507149944038,0.259146341463415,0.264725823073168,0.231577463806327,0.225559061778116,0.194963794520336,0.219537727237107,0.171524106010443,NA,0.145345764738654,0.045673758865248,0.0560952679410844,0.123845428840716,0.13205667305248,0.0759795533795497,0.101662168629849,0.121809396714371,0.109025490913526,0.103984759783645,0.120281054668343,0.102350232632215
"W-10-",0.141110109921425,0.110794783926548,0.0890261952965693,0.089930393540995,0.150398189408915,0.162281400345202,0.137728453010473,0.133791203545082,0.112978663143329,0.124778048995751,0.10548526783889,0.145345764738654,NA,0.0790372289757228,0.0784281262480871,0.0318282646265536,0.0333283594547291,0.0467168798268996,0.0336097794437078,0.0186864296377453,0.0219592984170121,0.0269469408183184,0.0168852037862338,0.0320903612687722
"W-11-",0.179088492252065,0.136292333304308,0.0867762583648531,0.104094463005206,0.190321687997233,0.20107409494295,0.175564951078773,0.164958488109621,0.142308645033441,0.149251026397899,0.130588025341304,0.045673758865248,0.0790372289757228,NA,0.0276160503540519,0.0748517390607469,0.0720521000361503,0.0385043448749197,0.0453318709486605,0.0573868602178867,0.0551987631195553,0.0464483199101891,0.0605769655233302,0.0483152378970758
"W-12-",0.177525599945754,0.148966319281871,0.0987288977159881,0.103270938634225,0.183415536374846,0.197583176396736,0.179862764324731,0.161268188416257,0.14665564738292,0.136237058122054,0.143814080656186,0.0560952679410844,0.0784281262480871,0.0276160503540519,NA,0.0936038817820909,0.0644716928287727,0.0387698642469829,0.0488345959160339,0.0541716032096505,0.052439024390244,0.0476366122580115,0.0607830310238873,0.0492082135038536
"W-2-",0.145150491619075,0.15006280929667,0.12979683972912,0.0786217016097215,0.144360051712993,0.165019860973188,0.16216729324837,0.140195822035105,0.146108063951453,0.0901667269085133,0.159214830970556,0.123845428840716,0.0318282646265536,0.0748517390607469,0.0936038817820909,NA,0.0418036284377859,0.0509874281804448,0.0336610468912016,0.0316263461917491,0.0312333864965444,0.0287956273050319,0.0230494242839922,0.0532550164288161
"W-3-",0.165582269137897,0.118942180700503,0.0941054498155769,0.113394678911249,0.179166857085672,0.196904391791002,0.151435869030491,0.15376888571033,0.131981561988299,0.172632565963339,0.113117277311414,0.13205667305248,0.0333283594547291,0.0720521000361503,0.0644716928287727,0.0418036284377859,NA,0.0371173439683286,0.0396836225540368,0.0212454742138198,0.0355723758813857,0.0287325369247733,0.0261241280310793,0.0262662457759699
"W-4-",0.15592082653222,0.109452626605282,0.0831815668414071,0.0979444605764086,0.164751110266397,0.178764788242086,0.142325259484718,0.143421781108018,0.124738256071802,0.147262722760225,0.106150020056554,0.0759795533795497,0.0467168798268996,0.0385043448749197,0.0387698642469829,0.0509874281804448,0.0371173439683286,NA,0.0267177635181652,0.0289677684415271,0.0247546825332016,0.0319262871610058,0.0308994007220765,0.0299430543923074
"W-5-",0.1323493071193,0.0897752012184188,0.0702058114733664,0.0824556225599301,0.140478761490082,0.155128595283799,0.118294321553666,0.125653341619196,0.104417570742114,0.12944004201766,0.0931447235606681,0.101662168629849,0.0336097794437078,0.0453318709486605,0.0488345959160339,0.0336610468912016,0.0396836225540368,0.0267177635181652,NA,0.0238536741602976,0.0230794100823199,0.0315579495493673,0.0194767251324,0.0224126787805013
"W-6-",0.141059098814284,0.0985462637467488,0.0775404532214894,0.0950091574127,0.151284893453377,0.165027346199401,0.127579877379111,0.131199916228363,0.10885936052931,0.145080028485254,0.0958112250078923,0.121809396714371,0.0186864296377453,0.0573868602178867,0.0541716032096505,0.0316263461917491,0.0212454742138198,0.0289677684415271,0.0238536741602976,NA,0.0180017204818123,0.01653067215855,0.0132390369558177,0.0193175044308839
"W-7-",0.131396263442761,0.0893324352165945,0.069004579416727,0.0849408996652142,0.143485346595858,0.152404324939536,0.118989023148357,0.124517538324086,0.100397468528327,0.134011213807642,0.0849190424742208,0.109025490913526,0.0219592984170121,0.0551987631195553,0.052439024390244,0.0312333864965444,0.0355723758813857,0.0247546825332016,0.0230794100823199,0.0180017204818123,NA,0.0299231619765887,0.0137184759230159,0.0222629073504183
"W-8-",0.136086894222607,0.0915881219877256,0.0697011226430471,0.0893229896504394,0.146808462594007,0.162098028081478,0.1235900108967,0.123679017173723,0.0995314990211612,0.141584992936448,0.0873305067829909,0.103984759783645,0.0269469408183184,0.0464483199101891,0.0476366122580115,0.0287956273050319,0.0287325369247733,0.0319262871610058,0.0315579495493673,0.01653067215855,0.0299231619765887,NA,0.0214425236167189,0.0228486200097788
"W-9-",0.127547683329325,0.0876338237221116,0.0718405994676756,0.0810582485973409,0.137694293665154,0.150057970549892,0.115912409086903,0.120402339958486,0.0991393856977312,0.126228878018856,0.0859081546104446,0.120281054668343,0.0168852037862338,0.0605769655233302,0.0607830310238873,0.0230494242839922,0.0261241280310793,0.0308994007220765,0.0194767251324,0.0132390369558177,0.0137184759230159,0.0214425236167189,NA,0.0237595799228284
"W-AUX3-",0.145154092173358,0.135325521789332,0.107126282848904,0.0903610607591921,0.147117978088454,0.166050587901496,0.154569757830212,0.142523852823961,0.133299268115561,0.108415529833759,0.13309876972843,0.102350232632215,0.0320903612687722,0.0483152378970758,0.0492082135038536,0.0532550164288161,0.0262662457759699,0.0299430543923074,0.0224126787805013,0.0193175044308839,0.0222629073504183,0.0228486200097788,0.0237595799228284,NA
