"","E-1-","E-10","E-13","E-15-","E-2-","E-3-","E-4-","E-5-","E-6-","E-8-","E-AUX8-","W-1-","W-10-","W-11-","W-12-","W-2-","W-3-","W-4-","W-5-","W-6-","W-7-","W-8-","W-9-","W-AUX3-"
"E-1-",NA,0.0226072917843467,0.0562339921250813,0.0304636209570762,0.0120201826815894,0.00918013166662007,0.0167029885201368,0.0187598139744334,0.0157745561617192,0.015656078442751,0.0363410612562051,0.243859288206919,0.141110109921425,0.179088492252065,0.177525599945754,0.145150491619075,0.165582269137897,0.15592082653222,0.1323493071193,0.141059098814284,0.131396263442761,0.136086894222607,0.127547683329325,0.145154092173358
"E-10",0.0226072917843467,NA,0.066767523886742,0.0232635002310124,0.0254374338736014,0.0242182236501521,0.0161132809671418,0.032628256034965,0.0349545585087948,0.0190618402712302,0.0474543936792645,0.17895330815167,0.110794783926548,0.136292333304308,0.148966319281871,0.15006280929667,0.118942180700503,0.109452626605282,0.0897752012184188,0.0985462637467488,0.0893324352165945,0.0915881219877256,0.0876338237221116,0.135325521789332
"E-13",0.0562339921250813,0.066767523886742,NA,0.0256668068266968,0.0687701223438507,0.0600782445994216,0.0776890930647174,0.0600742298475268,0.0489897393153795,0.0279626585093379,0.0475563909774435,0.1355871886121,0.0890261952965693,0.0867762583648531,0.0987288977159881,0.12979683972912,0.0941054498155769,0.0831815668414071,0.0702058114733664,0.0775404532214894,0.069004579416727,0.0697011226430471,0.0718405994676756,0.107126282848904
"E-15-",0.0304636209570762,0.0232635002310124,0.0256668068266968,NA,0.0421224721738364,0.0427022153666223,0.0375977169034036,0.0363237678045533,0.0260547125028904,0.0257449024918516,0.0241540064344297,0.164507149944038,0.089930393540995,0.104094463005206,0.103270938634225,0.0786217016097215,0.113394678911249,0.0979444605764086,0.0824556225599301,0.0950091574127,0.0849408996652142,0.0893229896504394,0.0810582485973409,0.0903610607591921
"E-2-",0.0120201826815894,0.0254374338736014,0.0687701223438507,0.0421224721738364,NA,0.01733889661567,0.0122712094424391,0.0158578409721457,0.0286458201992183,0.0195595380199324,0.0426526383768803,0.259146341463415,0.150398189408915,0.190321687997233,0.183415536374846,0.144360051712993,0.179166857085672,0.164751110266397,0.140478761490082,0.151284893453377,0.143485346595858,0.146808462594007,0.137694293665154,0.147117978088454
"E-3-",0.00918013166662007,0.0242182236501521,0.0600782445994216,0.0427022153666223,0.01733889661567,NA,0.0202764769223574,0.0175433250466707,0.0200301084966974,0.0148774131876022,0.0336318450595595,0.264725823073168,0.162281400345202,0.20107409494295,0.197583176396736,0.165019860973188,0.196904391791002,0.178764788242086,0.155128595283799,0.165027346199401,0.152404324939536,0.162098028081478,0.150057970549892,0.166050587901496
"E-4-",0.0167029885201368,0.0161132809671418,0.0776890930647174,0.0375977169034036,0.0122712094424391,0.0202764769223574,NA,0.0146804393356876,0.0343755870890856,0.0238289813145499,0.0605578155738303,0.231577463806327,0.137728453010473,0.175564951078773,0.179862764324731,0.16216729324837,0.151435869030491,0.142325259484718,0.118294321553666,0.127579877379111,0.118989023148357,0.1235900108967,0.115912409086903,0.154569757830212
"E-5-",0.0187598139744334,0.032628256034965,0.0600742298475268,0.0363237678045533,0.0158578409721457,0.0175433250466707,0.0146804393356876,NA,0.0221772610724577,0.02557264746186,0.0489764321230583,0.225559061778116,0.133791203545082,0.164958488109621,0.161268188416257,0.140195822035105,0.15376888571033,0.143421781108018,0.125653341619196,0.131199916228363,0.124517538324086,0.123679017173723,0.120402339958486,0.142523852823961
"E-6-",0.0157745561617192,0.0349545585087948,0.0489897393153795,0.0260547125028904,0.0286458201992183,0.0200301084966974,0.0343755870890856,0.0221772610724577,NA,0.0158091578901716,0.0442721163510239,0.194963794520336,0.112978663143329,0.142308645033441,0.14665564738292,0.146108063951453,0.131981561988299,0.124738256071802,0.104417570742114,0.10885936052931,0.100397468528327,0.0995314990211612,0.0991393856977312,0.133299268115561
"E-8-",0.015656078442751,0.0190618402712302,0.0279626585093379,0.0257449024918516,0.0195595380199324,0.0148774131876022,0.0238289813145499,0.02557264746186,0.0158091578901716,NA,0.0106412466970656,0.219537727237107,0.124778048995751,0.149251026397899,0.136237058122054,0.0901667269085133,0.172632565963339,0.147262722760225,0.12944004201766,0.145080028485254,0.134011213807642,0.141584992936448,0.126228878018856,0.108415529833759
