"","pop_names[pop_keep]","N","MLG","num_clones","Qha_Hexp","Qha_alleles","Qha_all_rich","Qha_pwfst","wang.means"
"1","E-1-",20,18,2,0.523921988150099,34,23.0551722839674,0.0934581136992419,0.32825341800221
"2","E-10",9,9,0,0.584262796027502,32,28.0585434173669,0.078215750160726,0.186930572126208
"3","E-13",8,8,0,0.661904761904762,36,32.0769230769231,0.0734359615235925,0.117357464742031
"4","E-14-",12,9,3,0.718954248366013,45,36.4873410902823,0.0679619729453353,0.00652901916877325
"5","E-15-",12,12,0,0.694565217391304,42,32.7888381439532,0.0718310728931995,0.0736364771530003
"6","E-2-",25,20,5,0.502197802197802,32,21.9494806418299,0.100678681364885,0.374874551107838
"7","E-3-",27,20,7,0.468315018315018,32,21.4723162602073,0.106659079752628,0.367041253374208
"8","E-4-",19,13,6,0.505621914317566,32,24.5862789572791,0.0948468539169751,0.262797275579735
"9","E-5-",32,17,15,0.566271449928945,36,24.1377319673149,0.0913564207159572,0.337202883312741
"10","E-6-",14,11,3,0.604205318491033,37,27.9765358480529,0.0809526482284723,0.189236501195163
"11","E-7-",27,17,10,0.580371542556416,37,25.7591125204092,0.0948183383967599,0.253860903361704
"12","E-8-",29,21,8,0.54679008564026,42,25.7215855368969,0.0912627359349313,0.326435876926056
"14","E-AUX8-",11,7,4,0.562009419152276,30,27.956043956044,0.0796534235186287,0.218267551007081
"15","W-1-",39,25,14,0.505539358600583,36,21.6903600529458,0.156436457354648,0.395798177185047
"16","W-10-",29,21,8,0.659738620494168,56,34.506262348195,0.0864142875661763,0.0875999618705766
"17","W-11-",20,19,1,0.629343629343629,48,31.6674317983435,0.103936513795555,0.149143205014483
"18","W-12-",18,15,3,0.629556650246305,44,31.6994630273065,0.106314778998347,0.0686208153702535
"19","W-2-",11,7,4,0.648351648351648,36,33.7582417582418,0.097776284101125,-0.0297655241256042
"20","W-3-",33,31,2,0.581650134083158,54,30.4814049741807,0.0960839464225876,0.20454891540386
"21","W-4-",33,25,8,0.634691809854641,52,30.3651586285732,0.0862795237357287,0.168311106553048
"22","W-5-",30,26,4,0.656216332686921,65,34.4763327082867,0.0758303829809284,0.103770948849126
"23","W-6-",33,31,2,0.623706277857521,66,32.4690612216757,0.0788346520498917,0.142085151656261
"24","W-7-",32,30,2,0.652138821630347,63,34.3232818074745,0.0745477001406799,0.0995335967951866
"25","W-8-",39,34,5,0.682959996352853,57,32.4761176085116,0.0758139188293417,0.102954558473987
"26","W-9-",30,27,3,0.669062593590895,70,36.8335800647162,0.0731418981921701,0.0454490647717763
"27","W-AUX3-",16,14,2,0.65191144834002,46,33.3280082608646,0.0881622386857002,0.0933829701175044
